As.dr.ing. Cristian ZIMBRU,AIA
As.dr.ing. Oana-Sorina CHIRILA,AIA
As.dr.ing. Raul-Cristian ROMAN,AIA
Conf.dr.ing. Florin DRAGAN,AIA
Conf.dr.ing. Iosif SZEIDERT,AIA
Prof.dr.ing. Gheorghe-Daniel ANDREESCU,AIA
Prof.dr.ing. Ioan FILIP,AIA
Prof.dr.ing. Lacramioara STOICU-TIVADAR,AIA
Prof.dr.ing. Octavian PROSTEAN,AIA
Prof.dr.ing. Radu-Emil PRECUP,AIA
S.l.dr.ing. Alexandra-Iulia SZEDLAK-STINEAN,AIA
S.l.dr.ing. Antonius STANCIU,AIA
S.l.dr.ing. Claudia-Adina BOJAN-DRAGOS,AIA
S.l.dr.ing. Cristian VASAR,AIA
S.l.dr.ing. Dan UNGUREANU,AIA
S.l.dr.ing. Daniel IERCAN,AIA
S.l.dr.ing. Dorina POPESCU,AIA
S.l.dr.ing. Mihaela CRISAN-VIDA,AIA
S.l.dr.ing. Mircea-Bogdan RADAC,AIA
S.l.dr.ing. Ovidiu BANIAS,AIA
Conf. univ. ARIESANU CAMELIA,MATEMATICA
Conf. univ.- Director Departament  BINZAR TUDOR ,MATEMATICA
Prof. univ.  BOTA CONSTANTIN ,MATEMATICA
Prof. univ. BUSE CONSTANTIN ,MATEMATICA
Conf. univ. - Prorector CADARIU - BRAILOIU LIVIU - IOAN,MATEMATICA
Conf. univ.  CARUNTU BOGDAN ,MATEMATICA
Conf. univ. -asociat  GOLET IOAN ,MATEMATICA
Asist. univ. LUPA NICOLAE ,MATEMATICA
Conf. univ. NEGREA ROMEO-IOSIF,MATEMATICA
Conf. univ.  PAUNESCU MARIN-DORU ,MATEMATICA
Conf. univ.  BARVINSCHI FLORICICA ,FIZICA
Prof. univ. BERE IOAN ,FIZICA
Conf. univ.  - Director departament GRECONICI MARIAN ,FIZICA
S.l. univ. LUMINOSU IOAN ,FIZICA
S.l. univ.  PRETORIAN SIMONA ,FIZICA
S.l. univ.  TATAI ILDIKO ,FIZICA
Prof. univ. TOADER DUMITRU ,FIZICA
S.l. univ. ZAHARIE IOAN ,FIZICA
Prof. univ. HERISANU NICOLAE ,MECANICA
S.l. univ.  LINUL EMANOIL ,MECANICA
Prof. univ. - Director departament  MARSAVINA LIVIU ,MECANICA
S.l. univ.  MENYHARDT KAROLY,MECANICA
S.l. univ. NAGY RAMONA ,MECANICA
Asist. univ. TOTOREAN ALIN ,MECANICA
Doctorand BALAN CATALIN-IULIAN ,MASURARI SI ELECTRONICA OPTICA
Doctorand  BUTA PETRU ADRIAN ,MASURARI SI ELECTRONICA OPTICA
S.l. univ.  IONEL RAUL CIPRIAN ,MASURARI SI ELECTRONICA OPTICA
S.l. univ. - Director departament  MATIU IOVAN  LILIANA ,MASURARI SI ELECTRONICA OPTICA
Prof. univ.  STOICIU DAN ,MASURARI SI ELECTRONICA OPTICA
S.l. univ. VARTOSU ADRIAN-GHEORGHE ,MASURARI SI ELECTRONICA OPTICA
S.l. univ. BAIAS COSMIN ,LIMBI STRAINE
S.l. univ. COHEN - VIDA MARION ,LIMBI STRAINE
Prof. univ.  DEJICA - CARTIS DANIEL ,LIMBI STRAINE
Conf. univ. - Director departament GHERHES VASILE ,LIMBI STRAINE
S.l. univ.  PALEA ADINA RAMONA,LIMBI STRAINE
Prof. univ.  POP MIRELA-CRISTINA ,LIMBI STRAINE
